0LastSeenMonth, 1Region, 2Site, 3BusinessCategory, 4ProjectNo, 5CapitalClassificationCode, 6Firm, 7Jul, 8Aug, 9Sep, 10Oct, 11Nov, 12Dec,13Jan, 14Feb, 15Mar, 16Apr, 17May, 18Jun, 19J, 20A, 21S, 22O, 23N, 24D, 25J, 26F, 27M, 28A, 29M, 30J
2019-09,Market E,Plant A,Category B,A.03578,02,0,1875,1875,1875,1873.91775,1980,2001.5359999999998,2001.5359999999998,2177.589,2170,2178,2164.787,2171.0460000000003,0,0,0,1020.423,-824.225,1082.153,82.437,76.343,411.529,200.886,0,121.5
2019-08,Market E,Plant A,Category C,A.03579,01,,0,0,3510,3322.8495,3322.8495,3223.1673,3223.1673,3223.1673,3222,3222,3165.918,3165.375,0,0,284.289,129.965,284.429,1357.621,415.162,92.775,266.687,71.947,188,74.5
2019-09,Market E,Plant A,Category B,A.03592,01,400,750,750,750,750,750.6,750.299,750.299,750.299,781,793.3,761.454,761.135,0,0,0,37.061,73.151,250.823,-40.243,138.093,81.665,-16.415,123,114
2020-02,Market E,Plant A,Category B,A.03688,02,,,,,,0,270,270,270,270,150.9,150,149.889,0,0,0,0,0,0,0,94.335,-23.569,18.123,0,61
2020-03,Market E,Plant A,Category C,A.03703,02,,,,,,720,360,360,405,350,296.843,257.074,297.81100000000004,0,0,0,0,0,0,0,0,216.223,2.588,52,27
2020-04,Market E,Plant A,Category B,A.03718,02,,,,,,,,1530,1188,1110,1110,1524.9,1390.965,0,0,0,0,0,0,0,0,0,34.965,0,1356
2020-05,Market E,Plant A,Category C,A.03736,02,,,,,,,,,,,50,0,50,0,0,0,0,0,0,0,0,0,0,0,50
2019-07,Market E,Plant A,Category F,B.06365,03,151.911,223.428,223.428,154.79500000000002,154.817,229.675,228.006,228.006,218.052,224,208.94,193.614,193.614,89.57,27.136,8.86,22.147,11.471,5.122,2.002,9.939,12.799,4.568,0,0
2019-07,Market E,Plant A,Category F,B.06367,04,69.789,57.851,57.851,58.53,39.486,39.486,39.486000000000004,39.486000000000004,39.486000000000004,39.486000000000004,39.486000000000004,39.486000000000004,39.486000000000004,17.199,22.287,0,0,0,0,0,0,0,0,0,0
2019-07,Market E,Plant A,Category C,B.06368,01,36.084,36.804,35.844,35.844,36.004,36.004,39.452,39.452,39.452,39.452,39.452,39.452,39.452,30.589,14.436,0,-6.196,0.623,0,0,0,0,0,0,0
2019-07,Market E,Plant A,Category B,B.06667,01,525,450,441,441,441.632,440.767,440.858,440.858,440.858,440,440.85,423.316,425.71200000000005,0.22,63.23,63.23,6.217,3.754,70.654,46.405,116.607,45.48,-8.085,18,0
2019-08,Market E,Plant A,Category F,B.06835,03,863,860,789.836,858.1270000000001,877.194,837.41,843.174,843.174,851.92,847,859.756,1072.216,858.029,0,41.657,45.567,48.335,32.365,112.497,137.784,115.87,76.934,20.655,157.765,68.6
2019-12,Market E,Plant A,Category F,B.06836,03,,,,,,,49.871,50,52.864,52.864,52.85,53.169000000000004,53.169000000000004,0,0,0,0,0,0,0,0,2.563,47.606,0,3
2019-08,Market E,Plant A,Category F,B.06837,04,408.95,408.95,407.947,408.951,408.951,372,366.43100000000004,366.43100000000004,366.43100000000004,367,367.433,362.29,364.33129999999994,0,0,0,0.363,36.916,26.893,85.785,52.646,102.546,27.604,12,19.578299999999984
,Market E,Plant A,Category B,FB.50645,01,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2019-09,Market E,Plant A,Category C,B.06838,01,210,210,147.622,147.622,246.365,247.4,246.516,246.516,204,204,302.368,357.762,358.63199999999995,0,0,0,3.209,16.89,32.35,43.376,20.737,47.518,9.552,103,82
2019-09,Market E,Plant A,Category C,B.06838,01,,,,,,,,0,75,104,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category F,FB.24909,03,,,,,,,,,,200,200,170,355,,,,,,,,,0,0,10,345
,Market E,Plant A,Category B,FB.50645,01,150,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
,Market E,Plant A,Category C,FB.51066,01,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,FB.51070,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,FB.51072,02,360,360,360,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,FB.51076,02,75,75,75,75,99.9,45,44.883900000000004,44.883900000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,FB.51760,01,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category B,FB.52023,04,750,750,750,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,FB.55972,02,,,,,,0,1980,1980,1980,1490,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,FB.56233,01,,,,,,0,135.9,135,81,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category B,GRA-FB_GS_2272_9797-rb,01,,,,,,,,,-5,-5,-5,-5,-5,,0,0,0,0,0,-5,0,0,0,0,0
,Market E,Plant A,Category C,,01,,,,,,,,,,136,0,0,0,,,,,,,,,,,0,0
,Market E,Plant A,Category C,,01,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,,01,,,,,,180,180,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category B,,02,,,,,,1998,1530,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,,01,,,,,,0,315,315,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,,02,0,0,0,0,1000,4050,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,Market E,Plant A,Category C,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category B,,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category B,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category B,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category B,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category B,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category B,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category B,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category B,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,,01,500,450,650,297,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,,01,630,630,630,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,,01,1530,1530,1530,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,,02,1710,1710,1710,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category B,,01,1800,1800,1800,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category B,,02,3150,3150,3150,300,300,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category B,,01,1800,1800,1800,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category B,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category B,,01,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category B,,01,,,,,,270,270,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category B,,01,,,,,,135,135,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category B,,01,,,,,,270,270,0,0,0,0,0,0,,,,,,,,,,,,
2019-08,Market E,Plant B,Category A,A.03193,01,,0,0.045,0.045,0.045,0.045,0,0.045,0.045,0.045,1.192,1.192,1.192,0.045,0,0,0,0,0,0,0,1.147,0,0,0
2019-07,Market E,Plant B,Category A,A.03325,01,83.431,217.60799999999998,223.342,194.4,193.588,194.729,197.59199999999998,198.715,204.563,197,214.12,174.465,174.465,1.147,39.049,7.435,69.52,21.834,-20.596,7.79,0.55,87.391,-42.655,3,0
2019-07,Market E,Plant B,Category A,A.03379,01,237.179,181.683,575.8,600.8940000000001,554.087,659,609.3000000000001,609.3000000000001,550,457.927,334.494,223.095,233.09,-6.57,56.062,-27.612,-8.971,-13.828,-11.347,10.644,5.746,103.37,10.596,81,34
2019-07,Market E,Plant B,Category C,A.03390,01,45,94.2444,26.371000000000002,42.369,49.075,48.616,47.921,47.816,46.842,40.842,40.842,40.68,40.68,6.371,5.55,1.156,-0.053,0,6.398,2.367,0,9,-5.109,0,15
2019-07,Market E,Plant B,Category C,A.03471,02,453.4083,348.75,405,428.775,430.19480000000004,430.19480000000004,480.286,480.286,478.722,365.638,348.165,345.171,346.17099999999994,15.195,23.582,71.359,81.295,97.825,-6.57,5.532,5.103,39.844,12.006,1,0
2019-08,Market E,Plant B,Category C,A.03541,01,412.5,412.5,412.5,297.905,297.905,297.905,297.915,883,517.915,473.584,374.089,373.037,375.038,0,119.168,119.168,0,29.791,0,0,-12.177,48.139,60.949,0,10
2019-10,Market E,Plant B,Category F,A.03604,04,,833.301,825.4929999999999,825.4929999999999,825.4929999999999,830.6,774,774,545,183,0,0,0,0,0,0,0,0,103.097,0,0,-103.097,0,0,0
2020-01,Market E,Plant B,Category A,A.03648,02,0,0,0,375,530,540,603,612,515,414,194,166.364,188.365,0,0,0,0,0,0,0,0,34,0.365,22,132
2020-03,Market E,Plant B,Category A,A.03712,02,1800,1000,1000,1250,1250,1200,540,873,379,345,178.47,93.306,89.406,0,0,0,0,0,0,0,0,1.47,31.936,5,51
2020-05,Market E,Plant B,Category C,A.03761,02,375,375,375,375,375,375,252,252,99.9,100,109,109,109,0,0,0,0,0,0,0,0,0,0,0,109
2019-07,Market E,Plant B,Category F,B.06383,02,0,195,0,0,195,195,195,195,195,195,0,0,0,,,,,,,,,0,0,0,0
2019-07,Market E,Plant B,Category F,B.06383,03,160.25,318,507.823,534.419,339,334,353,353,331.82800000000003,390.512,572.13,533.9619,544.178,90.686,42.988,40.242,-21.964,242.187,13.97,82.411,14.349,37.266,-27.957,30,0
2019-07,Market E,Plant B,Category F,B.06385,04,130.203,166.2,196.236,211.634,207,203.9,203.769,201.684,175.17199999999997,164.488,165.886,120.408,167.277,61.928,65.593,-6.702,8.097,-21.733,3.87,2.231,1.124,3.355,0.754,0,48.76
2019-07,Market E,Plant B,Category C,B.06386,01,,6.04,6.04,6.04,6.04,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,0,0.097,5.853,0,0,0,0,0,0,0,0,0
2019-07,Market E,Plant B,Category A,B.06387,01,,13.075,13.187999999999999,28.961,28.422,30.366,48.405,33.405,36.789,36.262,36.262,37.499,39.262,0.113,15.849,-0.503,-0.093,18.039,0,3.384,-0.527,0,0,0,3
2020-05,Market E,Plant B,Category F,B.06824,03,,,,,,,,,,,,16.684,16.684,0,0,0,0,0,0,0,0,6.684,0,0,10
2019-07,Market E,Plant B,Category F,B.06827,02,0,0,,,195,195,195,195,195,195,0,0,0,,,,,,,,,0,0,0,0
2019-07,Market E,Plant B,Category F,B.06827,02,0,195,0,0,193,193,193,193,193,193,0,0,0,,,,,,,,,0,0,0,0
2019-08,Market E,Plant B,Category F,B.06829,04,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
2019-08,Market E,Plant B,Category F,B.06829,04,100,100,100,100,100,0,0,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07,Market E,Plant B,Category F,B.06827,03,,1312.07,1537.728,1688.519,1345.294,1156.352,989,989,1401,972,983.77,865.57814,943.1899999999999,0,3.071,12.173,138.422,151.759,116.703,205.486,42.13,13.025,14.421,66,180
2019-08,Market E,Plant B,Category F,B.06829,04,,315,350,350,344.838,350.303,350.303,350.303,350.303,412,282.158,250.54380999999998,272.158,0,0,11.625,47.678,21.474,88.434,9.969,5.169,12.809,0,0,75
2019-12,Market E,Plant B,Category C,B.06830,01,,,,,,0,81,81,40,37,30,24,30.431,0,0,0,0,0,0,0,0,0.431,0,5,25
2019-10,Market E,Plant B,Category A,B.06831,02,0,0,,0,171,190,190,172,214,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10,Market E,Plant B,Category A,B.06831,02,,,,,,,49,49,49,49,0,0,0,,,,,,,,,0,0,0,0
2019-10,Market E,Plant B,Category A,B.06831,02,,,,,,,,,0,128,0,0,0,,,,,,,,,0,0,0,0
2019-10,Market E,Plant B,Category A,B.06831,02,,,,,,,,,0,100,0,0,0,,,,,,,,,0,0,0,0
,Market E,Plant B,Category A,FB.35552,04,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant B,Category C,FB.36517,02,300,300,300,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
2019-10,Market E,Plant B,Category A,B.06831,01,315,330.221,335.52,335.52,476,302,302,267,244,236,502,461.2216,499.59700000000004,0,0,0,24.24,8.042,84.923,156.29,89.172,-20.759,56.689,63,38
,Market E,Plant B,Category C,FB.47035,02,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant B,Category C,FB.47473,01,450,450,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
,Market E,Plant B,Category A,FB.50667,01,375,375,375,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,,,0
,Market E,Plant B,Category A,FB.50671,01,150,150,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant B,Category A,FB.50674,01,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
,Market E,Plant B,Category A,FB.50675,01,375,375,375,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant B,Category A,FB.50679,01,415.0005,82.5,82.5,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant B,Category A,FB.50688,02,450,450,375,250,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant B,Category F,FB.50979,03,1312.07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
,Market E,Plant B,Category F,FB.50981,04,833.301,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
,Market E,Plant B,Category C,FB.51082,02,600,600,600,900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant B,Category C,FB.36518,02,0,0,800,800,0,0,0,0,0,0,0,135.688,200,0,0,0,0,0,0,0,0,0,0,0,200
,Market E,Plant B,Category C,FB.51084,02,180,180,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant B,Category A,FB.52314,01,450,349.7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
,Market E,Plant B,Category A,FB.54065,02,0,450,450,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
,Market E,Plant B,Category A,,02,,,,,,0,990,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant B,Category C,,01,,,,,,450,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant B,Category C,,01,,,,,,585,585,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant B,Category C,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
,Market E,Plant B,Category A,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
,Market E,Plant B,Category A,,02,200,180,180,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant B,Category A,,04,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant B,Category C,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2019-07,Market E,Plant D,Category C,A.03167,02,96.61680000000001,66.759,62.773,28.24900000000001,62.136,62.067,38.110000000000014,62.88,62.88000000000001,62.88000000000001,62.88000000000001,62.88000000000001,62.88000000000001,-27.252,-34.303,38.13,51.176,10.359,24.77,0,0,0,0,0,0
2019-07,Market E,Plant D,Category C,A.03180,02,154.76579999999998,128.5,83.663,54.173,67.192,63.783,53.744,51.541,51.541,51.541,51.16,51.16,51.16,-5.403,-10.156,-0.069,51.864,-2.372,17.677,0,0,-0.381,0,0,0
2019-07,Market E,Plant D,Category C,A.03387,01,47.042,95.653,90.9137,91.9369,96.018,97.792,86.767,86.806,86.806,86.806,86.806,88.645,88.645,37.397,0.877,41.373,7.12,0,0.039,0,0,0,1.839,0,0
2019-07,Market E,Plant D,Category C,A.03441,01,63.27450000000001,62.772,57.934799999999996,58.718,58.576499999999996,58.5288,44.561,49.3,51.20340000000001,51.38720000000001,50.021,46.062000000000005,46.062000000000005,1.44,0,0,1.463,-36.562,1.417,21.538,1.706,31.166,10.894,0,13
2019-07,Market E,Plant D,Category C,A.03446,02,417.438,307.8,270,284.459,275.334,266.0607,278.3378,278.3378,274.0265,272.063,282.826,281.65,284.459,59.599,27.086,9.468,-0.492,98.309,35.917,15.713,14.305,1.858,10.696,4,8
2019-07,Market E,Plant D,Category C,A.03537,01,412.5,412.5,494.1,579.829,612.703,620.073,612.9876,612.9876,615.6448,600.721,588.305,579.554,579.829,91.976,91.976,0,23.072,28.365,168.106,33.267,35.343,14.123,33.601,28,32
2019-10,Market E,Plant D,Category C,A.03568,02,0,1950,1931.16,2065.5,1979,2040,1997.3721,1970,2008.89,1981.5507,2018.345,2006.699,2010.939,356.163,0,61.656,-48.209,438.755,118.864,-39.448,631.149,-1182.515,1445.324,139,90.2
2020-03,Market E,Plant D,Category C,A.03699,02,0,180,180,180,180,90,438.75,360,270,258.48,223.534,192,174.777,0,0,0,0,0,0,0,0,120.96,14.817,21,18
2019-08,Market E,Plant D,Category C,B.06055,01,,0,6.793,6.793,6.793,6.793,7.485,7.485,7.485,7.485,7.485,7.485,7.485,6.793,0,0,0,0.692,0,0,0,0,0,0,0
2019-10,Market E,Plant D,Category F,B.06211,03,,0,,,-0.239,-0.239,-0.239,-0.239,-0.239,-0.239,-0.239,-0.239,-0.239,0,0,-0.239,0,0,0,0,0,0,0,0,0
2019-07,Market E,Plant D,Category F,B.06375,03,,62.37,60.64,61.195,61.195,61.195,61.195,61.195,61.195,61.195,61.195,61.195,61.195,60.64,0.555,0,0,0,0,0,0,0,0,0,0
2019-07,Market E,Plant D,Category F,B.06376,03,,23.3,27.474,27.474,27.474,27.474,27.474,27.474,27.474,27.474,27.474,27.474,27.474,27.474,0,0,0,0,0,0,0,0,0,0,0
2019-07,Market E,Plant D,Category F,B.06377,04,,63.7,62.813,62.813,62.813,62.813,62.813,62.813,62.813,62.813,62.813,62.813,62.813,62.813,0,0,0,0,0,0,0,0,0,0,0
2019-08,Market E,Plant D,Category C,B.06378,01,,0,-10.477,-11.745000000000001,-13.174,-2.641,-7.9140000000000015,-7.9140000000000015,-7.9140000000000015,-5.168,-5.168,-5.168,-5.168000000000001,-10.477,-1.268,-1.429,10.533,-5.273,0,0.041,2.705,0,0,0,0
2019-09,Market E,Plant D,Category F,B.06805,03,441.946,441.946,441.946,124,125.043,193.464,214.8,227,208.09599999999998,248.29500000000002,233.499,152,158.074,0,0.993,0.05,8.798,6.698,10.55,29.763,2.739,16.419,13.064,19,50
2019-12,Market E,Plant D,Category F,B.06806,03,37.5,37.5,37.5,37.5,37.5,37.5,37.5,38,38,38,38,0,38,0,0,0,0,0,0,0,0,0,0,38,0
2019-09,Market E,Plant D,Category F,B.06807,04,64.518,64.5,64.5,327,327,258.107,237.21,237.162,216.928,217.373,203.205,296,302.59299999999996,0,0,0,6.057,9.145,24.227,19.031,26.475,1.651,40.007,4,172
2019-12,Market E,Plant D,Category F,B.06808,02,,,,,,,119.7,108,120,20,20,20,20,0,0,0,0,0,0,0,0,0,0,20,0
,Market E,Plant D,Category C,FB.51089,02,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant D,Category C,FB.51090,01,,0,22.5,22.5,22.5,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant D,Category C,FB.51762,01,61.739,60,61.5,61.5,61.5,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03,Market F,Plant E,Category D,A.01988,02,,,,,,,,,,14.497,14.497,33.851,14.497,14.497,0,0,0,0,0,0,0,0,0,0,0
2019-07,Market F,Plant E,Category D,A.02453,02,9450,9450,9193.5,9396,9461,8961.300000000001,8985.596,8928.188,8125.998900000001,10628,10531,12000,10832.187,221.746,2282.453,143.881,743.574,2297.345,551.93,324.935,455.209,2222.827,522.156,930.194,135.937
2019-07,Market F,Plant E,Category D,A.02453,02,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
2019-07,Market F,Plant E,Category D,A.02453,02,0,0,,0,3840,3839,3762.1457499999997,3611,2320.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07,Market F,Plant E,Category D,A.02453,02,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
2019-07,Market F,Plant E,Category F,A.02460,03,183.4956,181.7046,189,189,188.8497,188.8497,150.3,150.3,151.18720000000002,190,135.75,135.75,156.368,0.104,0,0,0,0,0,14.969,-0.173,15.991,38.619,88.457,-1.599
2019-07,Market F,Plant E,Category D,A.02744,01,270,258.6312,277.8552,278.1,278.275,274.9,281,246,246.273,322,349.9,418.28313466,348.678,8.244,10.527,12.887,4.947,156.495,2.072,0.344,6.692,80.116,66.962,0,-0.608
2019-08,Market F,Plant E,Category F,A.02971,03,,0,12.597000000000001,12.597000000000001,15.637,14.068,14.05,16.014,16.958,15,16.914,16.914,16.914,6.276,-1.874,9.666,0,2.846,0,0,0,0,0,0,0
2019-07,Market F,Plant E,Category F,A.03053,04,296.5815,300.91875000000005,210,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07,Market F,Plant E,Category B,A.03124,02,99.9,73.9305,74.9795,80.223796694,80.018,79.219,79.21900000000001,79.21900000000001,79.21900000000001,79.21900000000001,79.21900000000001,79.21900000000001,79.21900000000001,5.504,10.727,41.249,21.739,0,0,0,0,0,0,0,0
2019-07,Market F,Plant E,Category B,A.03133,02,99.9,64.35000000000001,65.3089,65.136541522,68.55,67.424,67.424,66.906,66.906,66.906,66.906,66.906,66.906,5.539,9.394,6.386,3.103,42.484,0,0,0,0,0,0,0
2019-10,Market F,Plant E,Category F,A.03147,03,,0,,,1.331,1.331,1.3310000000000004,1.3310000000000004,1.3310000000000004,1.3310000000000004,1.3310000000000004,1.3310000000000004,1.3310000000000004,4.99,-3.659,0,0,0,0,0,0,0,0,0,0
2019-07,Market F,Plant E,Category C,A.03202,04,59.4,174,178.74699999999999,178.74699999999999,180.656,180.656,180.421,164.582,164.582,164.582,164.582,164.582,164.582,0,3.066,162.941,0,5.82,-7.245,0,0,0,0,0,0
2019-10,Market F,Plant E,Category D,A.03224,01,,0,,,-0.295,-0.295,-0.422,-0.422,-0.422,-0.422,-0.422,-0.422,-0.422,0,0,-0.295,0,-0.127,0,0,0,0,0,0,0
